,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
0,1,2,2950,2017-02-25,False,Approved,Solex,Standard,medium,medium,71.49,$53.62,41245.0
2,3,37,402,2017-10-16,False,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361.0
3,4,88,3135,2017-08-31,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,36145.0
7,8,15,2459,2017-07-15,False,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915.0
8,9,67,1305,2017-08-10,False,Approved,Solex,Standard,medium,large,1071.23,$380.74,33455.0
10,11,5,1986,2017-01-17,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,40784.0
13,14,16,2717,2017-09-10,False,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11",34586.0
14,15,12,247,2017-06-11,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,38193.0
15,16,3,2961,2017-10-10,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,37873.0
16,17,79,2426,2017-04-03,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,38206.0
17,18,33,1842,2017-06-02,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888.0
20,21,27,1582,2017-10-09,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,36334.0
23,24,82,515,2017-10-18,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,42404.0
24,25,89,2822,2017-06-11,False,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,34079.0
25,26,64,2596,2017-01-10,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,42145.0
27,28,19,76,2017-12-23,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,42560.0
29,30,91,1173,2017-03-15,False,Approved,WeareA2B,Standard,low,medium,642.31,$513.85,41922.0
31,32,1,3214,2017-02-18,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688.0
32,33,25,1272,2017-03-20,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,42404.0
34,35,0,2171,2017-08-20,False,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647.0
35,36,92,3356,2017-07-07,False,Approved,WeareA2B,Standard,medium,small,1415.01,"$1,259.36",37874.0
36,37,14,1040,2017-01-09,False,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",34996.0
37,38,2,2916,2017-12-06,False,Approved,Solex,Standard,medium,medium,71.49,$53.62,33549.0
38,39,12,427,2017-09-12,False,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,38693.0
41,42,79,3398,2017-05-14,False,Approved,Solex,Touring,medium,large,2083.94,$675.03,41533.0
43,44,46,165,2017-12-22,False,Approved,Solex,Standard,low,medium,1289.85,$74.51,37668.0
45,46,66,3053,2017-06-20,False,Approved,Solex,Standard,medium,medium,1163.89,$589.27,42560.0
48,49,86,1251,2017-06-17,False,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,38206.0
49,50,32,3103,2017-05-10,False,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,37337.0
50,51,77,3108,2017-03-24,False,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10,40553.0
51,52,96,857,2017-11-27,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,39427.0
54,55,0,3140,2017-09-18,False,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,38482.0
55,56,47,3406,2017-11-14,False,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42",35470.0
57,58,91,1031,2017-11-14,False,Approved,Solex,Standard,medium,medium,100.35,$75.26,36367.0
59,60,60,3473,2017-12-18,False,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85",41848.0
60,61,0,1839,2017-02-24,False,Approved,OHM Cycles,Road,high,large,12.01,$7.21,34244.0
62,63,35,368,2017-12-17,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688.0
63,64,0,2000,2017-07-08,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,39031.0
70,71,54,419,2017-01-03,False,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915.0
72,73,22,2430,2017-07-23,False,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,34165.0
74,75,58,1346,2017-06-20,False,Approved,OHM Cycles,Standard,medium,medium,912.52,$141.40,42295.0
75,76,22,927,2017-03-10,False,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,33552.0
76,77,50,763,2017-06-02,False,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,37668.0
77,78,80,2397,2017-11-07,False,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,36145.0
79,80,15,2884,2017-12-16,False,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90,38693.0
