customer_id,length,recency,frequency,monetary,L_score,R_score,F_score,M_score,LRFM_score_combined,LRFM_segment_combined
1,360,8,5,2895.14,4,4,4,2,4442,Price Conscious Buyers
10,144,34,4,4226.96,1,4,3,3,1433,New Customer High Value
1000,305,1,4,5443.1900000000005,3,4,3,4,3434,Top Tier Loyalist
1001,324,324,1,742.54,3,1,1,1,3111,Inactive Customer
1002,310,310,1,1024.66,3,1,1,1,3111,Inactive Customer
1003,314,148,2,1697.24,3,2,1,1,3211,Inactive Customer
1004,283,283,1,1720.7,2,1,1,1,2111,New Customer Low Value
1005,352,231,2,2130.04,4,1,1,2,4112,Inactive Customer
1006,321,63,4,3577.8099999999995,3,3,3,3,3333,Top Tier Loyalist
1007,304,52,5,6223.139999999999,3,3,4,4,3344,Top Tier Loyalist
1008,131,18,3,4098.25,1,4,2,3,1423,New Customer High Spender
1009,67,55,2,2046.2,1,3,1,2,1312,New Customer Low Value
101,9,9,1,748.17,1,4,1,1,1411,New Customer Low Value
1010,217,127,2,753.42,2,2,1,1,2211,New Customer Low Value
1011,346,243,3,3940.1800000000003,4,1,2,3,4123,Reactivated Spender
1012,271,10,2,2041.65,2,4,1,2,2412,New Customer Low Value
1013,255,96,2,2904.48,2,2,1,2,2212,New Customer Low Value
1014,138,5,5,4879.55,1,4,4,4,1444,New Customer High Value
1015,275,27,6,7096.79,2,4,4,4,2444,New Customer High Value
1016,183,67,3,2130.13,1,3,2,2,1322,New Customer Low Value
1017,355,332,2,3657.15,4,1,1,3,4113,Reactivated Spender
1018,340,250,2,2189.52,4,1,1,2,4112,Inactive Customer
1019,170,76,2,2595.56,1,3,1,2,1312,New Customer Low Value
102,266,43,3,3224.29,2,3,2,3,2323,New Customer High Spender
1020,272,272,1,1807.45,2,1,1,2,2112,New Customer Low Value
1021,341,39,3,3485.41,4,3,2,3,4323,Occasional Spender
1023,126,126,1,175.89,1,2,1,1,1211,New Customer Low Value
1024,255,35,4,5517.2,2,4,3,4,2434,New Customer High Value
1025,252,65,5,5191.110000000001,2,3,4,4,2344,New Customer High Value
1026,328,328,1,183.86,3,1,1,1,3111,Inactive Customer
1027,347,25,3,3729.56,4,4,2,3,4423,Occasional Spender
1028,208,174,2,3227.76,2,1,1,3,2113,New Customer High Potential
1029,336,31,3,2610.4900000000002,4,4,2,2,4422,Occasional Spender
103,351,117,2,3585.81,4,2,1,3,4213,Reactivated Spender
1030,336,215,3,3251.59,4,1,2,3,4123,Reactivated Spender
1031,315,47,2,1994.54,3,3,1,2,3312,Occasional Spender
1032,211,31,3,2295.95,2,4,2,2,2422,New Customer Low Value
1033,337,337,1,1842.92,4,1,1,2,4112,Inactive Customer
1034,105,105,1,1807.45,1,2,1,2,1212,New Customer Low Value
1036,344,163,4,5850.33,4,1,3,4,4134,At Risk Customer
1037,313,159,5,3955.0,3,2,4,3,3243,At Risk Customer
1038,13,13,1,1148.64,1,4,1,1,1411,New Customer Low Value
1039,345,53,4,5927.9800000000005,4,3,3,4,4334,Top Tier Loyalist
104,301,65,6,5121.75,3,3,4,4,3344,Top Tier Loyalist
1040,356,221,3,3782.03,4,1,2,3,4123,Reactivated Spender
1041,362,21,2,3040.23,4,4,1,3,4413,Occasional Spender
1042,283,36,2,3528.26,2,4,1,3,2413,New Customer High Spender
1043,305,208,4,7086.0,3,1,3,4,3134,At Risk Customer
1044,348,113,2,1148.15,4,2,1,1,4211,Inactive Customer
1045,228,228,1,1483.2,2,1,1,1,2111,New Customer Low Value
1046,304,65,3,1435.9499999999998,3,3,2,1,3321,Occasional Spender
1047,349,84,5,4541.450000000001,4,3,4,4,4344,Top Tier Loyalist
1048,256,173,4,2659.75,2,1,3,2,2132,New Customer Budget Spender
1049,289,33,5,5086.42,3,4,4,4,3444,Top Tier Loyalist
105,300,90,2,3647.0499999999997,3,2,1,3,3213,Reactivated Spender
1050,177,69,4,2292.3199999999997,1,3,3,2,1332,1332
1051,285,180,3,2106.1099999999997,3,1,2,2,3122,Inactive Customer
1052,258,1,4,4865.75,2,4,3,4,2434,New Customer High Value
1054,247,6,2,3577.49,2,4,1,3,2413,New Customer High Spender
1056,284,25,3,3586.73,2,4,2,3,2423,New Customer High Spender
1057,308,206,2,3484.42,3,1,1,3,3113,Reactivated Spender
1058,285,285,1,575.27,3,1,1,1,3111,Inactive Customer
106,195,195,1,1769.64,1,1,1,2,1112,New Customer Low Value
1060,351,213,3,4614.45,4,1,2,4,4124,Reactivated Spender
1061,283,283,1,1071.23,2,1,1,1,2111,New Customer Low Value
1063,129,47,2,1551.0,1,3,1,1,1311,New Customer Low Value
1064,140,140,1,1810.0,1,2,1,2,1212,New Customer Low Value
1065,258,181,2,1437.65,2,1,1,1,2111,New Customer Low Value
1068,348,5,8,7176.77,4,4,4,4,4444,Top Tier Loyalist
1069,316,205,3,3090.22,3,1,2,3,3123,Reactivated Spender
107,262,217,2,1694.56,2,1,1,1,2111,New Customer Low Value
1070,256,1,3,5211.27,2,4,2,4,2424,New Customer High Spender
1071,328,54,4,4412.24,3,3,3,3,3333,Top Tier Loyalist
1072,263,47,2,3008.95,2,3,1,2,2312,New Customer Low Value
1073,278,18,5,5051.39,2,4,4,4,2444,New Customer High Value
1074,328,17,5,4202.79,3,4,4,3,3443,Top Tier Loyalist
1075,153,68,3,1991.83,1,3,2,2,1322,New Customer Low Value
1076,126,10,5,6608.7,1,4,4,4,1444,New Customer High Value
1077,232,91,3,2302.9700000000003,2,2,2,2,2222,New Customer Low Value
1078,287,19,2,992.25,3,4,1,1,3411,Occasional Spender
1079,18,18,1,1057.51,1,4,1,1,1411,New Customer Low Value
108,45,45,1,1036.59,1,3,1,1,1311,New Customer Low Value
