,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
1,2,3,3120,2017-05-21,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,41701.0
4,5,78,787,2017-10-01,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,42226.0
5,6,25,2339,2017-03-08,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,39031.0
6,7,22,1542,2017-04-21,True,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,34165.0
9,10,12,3262,2017-08-30,True,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,38216.0
11,12,61,2783,2017-01-05,True,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,42172.0
12,13,35,1243,2017-02-26,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,34527.0
18,19,54,2268,2017-04-06,True,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915.0
19,20,25,3002,2017-01-28,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,37337.0
21,22,37,595,2017-06-29,True,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361.0
22,23,37,2001,2017-04-08,True,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,42145.0
26,27,64,2666,2017-04-11,True,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,41047.0
28,29,72,3368,2017-10-13,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,42710.0
30,31,88,2810,2017-09-05,True,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,37539.0
33,34,99,2003,2017-02-28,True,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42",38991.0
39,40,0,2448,2017-11-28,True,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647.0
40,41,44,2570,2017-05-08,True,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,37668.0
44,45,55,2787,2017-06-07,True,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,42172.0
46,47,35,475,2017-05-07,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,34527.0
47,48,81,1305,2017-06-10,True,Approved,Solex,Standard,medium,medium,1151.96,$649.49,41009.0
52,53,6,3455,2017-12-21,True,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,33549.0
53,54,27,2549,2017-02-09,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,34527.0
56,57,94,2294,2017-08-30,True,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,41434.0
58,59,93,993,2017-02-15,True,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90,38750.0
61,62,33,1824,2017-12-18,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888.0
64,65,28,825,2017-05-16,True,Approved,Norco Bicycles,Standard,medium,small,1216.14,"$1,082.36",42696.0
65,66,86,3315,2017-02-23,True,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,36367.0
66,67,2,75,2017-07-03,True,Approved,Solex,Standard,medium,medium,71.49,$53.62,41245.0
67,68,4,1498,2017-09-30,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,38258.0
68,69,38,1612,2017-10-21,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,41167.0
69,70,27,2192,2017-05-06,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,36334.0
71,72,77,3307,2017-05-09,True,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,40672.0
73,74,56,1506,2017-01-21,True,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,35707.0
78,79,87,102,2017-09-12,True,Approved,Giant Bicycles,Standard,high,medium,1179.0,$707.40,35667.0
80,81,84,759,2017-10-07,True,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,33879.0
81,82,21,773,2017-04-27,True,Approved,Solex,Standard,medium,large,1071.23,$380.74,40670.0
82,83,0,3398,2017-04-01,True,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,37626.0
83,84,33,3297,2017-11-02,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888.0
84,85,84,2434,2017-02-13,True,Approved,Trek Bicycles,Road,medium,medium,290.62,$215.14,38339.0
88,89,0,2682,2017-04-04,True,Approved,OHM Cycles,Road,high,large,12.01,$7.21,40303.0
89,90,62,439,2017-08-15,True,Approved,Solex,Standard,medium,medium,478.16,$298.72,34143.0
90,91,17,1579,2017-04-15,True,Approved,Solex,Standard,high,medium,1024.66,$614.80,35160.0
91,92,73,2984,2017-07-25,True,Approved,Solex,Standard,medium,medium,1945.43,$333.18,36668.0
92,93,33,3470,2017-11-28,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",36498.0
96,97,80,211,2017-05-31,True,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,38339.0
107,108,26,947,2017-10-11,True,Approved,WeareA2B,Standard,medium,medium,1992.93,$762.63,34115.0
108,109,39,1335,2017-03-27,True,Approved,Giant Bicycles,Standard,medium,large,1812.75,$582.48,38991.0
110,111,0,3320,2017-06-11,True,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,42172.0
112,113,98,3296,2017-06-07,True,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03,33364.0
113,114,75,455,2017-10-24,True,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95,37873.0
115,116,72,2703,2017-11-21,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,40553.0
121,122,24,1038,2017-12-01,True,Approved,Solex,Road,medium,large,1777.8,$820.78,34115.0
122,123,31,1453,2017-03-05,True,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36,42218.0
124,125,22,3382,2017-01-03,True,Approved,Solex,Standard,medium,medium,575.27,$431.45,41345.0
126,127,84,2503,2017-03-16,True,Approved,Trek Bicycles,Road,medium,medium,290.62,$215.14,38482.0
130,131,96,2403,2017-01-18,True,Approved,WeareA2B,Road,low,small,1172.78,"$1,043.77",37539.0
132,133,93,1282,2017-09-02,True,Approved,WeareA2B,Standard,medium,medium,1065.03,$230.09,37539.0
135,136,65,1170,2017-04-25,True,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69,42105.0
142,143,60,2135,2017-01-26,True,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85",41047.0
144,145,7,2992,2017-06-07,True,Approved,Trek Bicycles,Road,low,medium,980.37,$234.43,38693.0
145,146,41,3261,2017-04-06,True,Approved,Solex,Road,medium,medium,416.98,$312.74,35560.0
146,147,67,2748,2017-04-25,True,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647.0
149,150,9,3067,2017-11-21,True,Approved,OHM Cycles,Road,medium,medium,742.54,$667.40,34586.0
152,153,37,3286,2017-08-19,True,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361.0
153,154,3,3383,2017-04-06,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,40784.0
154,155,56,982,2017-11-04,True,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,42404.0
155,156,14,676,2017-08-22,True,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",37873.0
156,157,6,385,2017-09-15,True,Approved,Solex,Standard,high,medium,748.17,$448.90,42105.0
157,158,50,1229,2017-03-01,True,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,39915.0
162,163,80,2519,2017-05-20,True,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,42226.0
164,165,3,2637,2017-10-25,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,38573.0
171,172,55,2365,2017-04-11,True,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,33259.0
175,176,74,1335,2017-03-30,True,Approved,WeareA2B,Standard,medium,medium,1228.07,$400.91,37873.0
177,178,56,3226,2017-07-25,True,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,35707.0
179,180,20,3349,2017-03-18,True,Approved,Trek Bicycles,Standard,medium,small,1775.81,"$1,580.47",40303.0
183,184,71,2409,2017-07-05,True,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",34996.0
185,186,17,2582,2017-11-08,True,Approved,Solex,Standard,high,medium,1024.66,$614.80,35378.0
186,187,1,1005,2017-07-24,True,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95,37873.0
187,188,3,1597,2017-01-15,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,41167.0
188,189,56,2713,2017-01-12,True,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,34143.0
189,190,37,1435,2017-11-27,True,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,40672.0
190,191,34,1477,2017-06-30,True,Approved,Norco Bicycles,Road,high,large,774.53,$464.72,39526.0
191,192,0,1614,2017-07-15,True,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,39031.0
192,193,12,1254,2017-06-22,True,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,39880.0
195,196,19,1315,2017-12-21,True,Approved,OHM Cycles,Road,high,large,12.01,$7.21,36334.0
196,197,45,591,2017-05-23,True,Approved,Solex,Standard,medium,medium,441.49,$84.99,34071.0
199,200,57,2889,2017-04-15,True,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,34143.0
200,201,0,3208,2017-09-05,True,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,41064.0
201,202,23,2406,2017-02-26,True,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,39031.0
203,204,81,1598,2017-07-03,True,Approved,Norco Bicycles,Standard,medium,small,586.45,$521.94,33429.0
204,205,58,1842,2017-05-27,True,Approved,OHM Cycles,Standard,medium,medium,912.52,$141.40,42295.0
209,210,63,3356,2017-04-12,True,Approved,Solex,Standard,medium,medium,1483.2,$99.59,33879.0
210,211,40,766,2017-05-07,True,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90,38750.0
213,214,46,868,2017-03-22,True,Approved,Solex,Standard,low,medium,1289.85,$74.51,41009.0
215,216,72,352,2017-11-29,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,42710.0
219,220,10,1502,2017-04-09,True,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,41345.0
221,222,8,939,2017-07-08,True,Approved,Solex,Road,medium,small,1703.52,"$1,516.13",40649.0
223,224,69,579,2017-04-25,True,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,33879.0
224,225,54,2036,2017-03-30,True,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915.0
226,227,86,369,2017-03-16,True,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,38482.0
227,228,13,821,2017-04-04,True,Approved,Solex,Standard,medium,medium,1163.89,$589.27,41345.0
228,229,19,2687,2017-03-13,True,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,40784.0
229,230,86,681,2017-12-23,True,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,41434.0
230,231,46,37,2017-08-12,True,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361.0
233,234,71,550,2017-09-01,True,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",34996.0
235,236,7,2325,2017-08-31,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",37698.0
236,237,23,1420,2017-03-11,True,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,34244.0
238,239,61,1645,2017-10-01,True,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,42145.0
240,241,86,2885,2017-03-27,True,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,37626.0
242,243,63,3166,2017-11-13,True,Approved,Solex,Standard,medium,medium,1483.2,$99.59,36146.0
243,244,63,3487,2017-12-20,True,Approved,WeareA2B,Standard,medium,medium,1992.93,$762.63,34115.0
244,245,33,2890,2017-09-22,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",40336.0
246,247,15,3393,2017-01-29,True,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90,39880.0
248,249,61,3466,2017-02-10,True,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,42172.0
255,256,13,1580,2017-10-22,True,Approved,Solex,Standard,medium,medium,1577.53,$826.51,40618.0
257,258,49,1777,2017-06-15,True,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,41064.0
258,259,87,142,2017-07-06,True,Approved,Giant Bicycles,Standard,high,medium,1179.0,$707.40,35667.0
262,263,53,3405,2017-10-22,True,Approved,OHM Cycles,Standard,medium,medium,795.34,$101.58,36668.0
265,266,44,3467,2017-11-07,True,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,40672.0
266,267,69,3436,2017-08-13,True,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,41922.0
268,269,11,2833,2017-01-25,True,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96,41345.0
271,272,0,2149,2017-04-30,True,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03,38002.0
273,274,6,360,2017-05-26,True,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,41701.0
274,275,76,2969,2017-02-03,True,Approved,WeareA2B,Standard,low,medium,642.31,$513.85,41922.0
283,284,44,2024,2017-10-03,True,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,41064.0
284,285,48,142,2017-07-27,True,Approved,WeareA2B,Standard,medium,medium,1762.96,$950.52,41848.0
285,286,56,768,2017-08-07,True,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,34170.0
286,287,36,2147,2017-02-07,True,Approved,Solex,Standard,low,medium,1289.85,$74.51,41064.0
287,288,36,529,2017-11-20,True,Approved,Solex,Standard,low,medium,945.04,$507.58,38750.0
289,290,55,624,2017-04-05,True,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,34170.0
293,294,79,1079,2017-08-25,True,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,37873.0
294,295,11,1643,2017-01-20,True,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96,39298.0
295,296,91,1524,2017-03-14,True,Approved,Solex,Standard,medium,medium,100.35,$75.26,37874.0
296,297,18,3205,2017-04-14,True,Approved,Solex,Standard,medium,medium,575.27,$431.45,41345.0
297,298,17,2860,2017-11-20,True,Approved,Solex,Standard,high,medium,1024.66,$614.80,35378.0
299,300,4,323,2017-03-25,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,38216.0
301,302,42,2426,2017-03-17,True,Approved,OHM Cycles,Road,medium,small,1810.0,"$1,610.90",36498.0
313,314,6,58,2017-08-20,True,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,39298.0
314,315,40,3118,2017-12-18,True,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,37823.0
316,317,90,2202,2017-06-19,True,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,36367.0
317,318,32,2144,2017-05-31,True,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,33888.0
318,319,65,1033,2017-10-09,True,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69,37499.0
319,320,15,2157,2017-06-20,True,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90,38693.0
322,323,67,87,2017-11-08,True,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647.0
324,325,62,952,2017-11-14,True,Approved,Solex,Standard,medium,medium,478.16,$298.72,33879.0
326,327,1,40,2017-05-09,True,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688.0
