customer_id,length,recency,frequency,monetary,L_score,R_score,F_score,M_score,LRFM_score_combined,LRFM_segment_combined
1,277,17,6,6189.3099999999995,2,4,4,4,2444,New Customer High Value
10,194,171,2,2840.87,1,1,1,2,1112,New Customer Low Value
100,235,12,2,2748.2,2,4,1,2,2412,New Customer Low Value
1000,315,71,5,4740.51,3,3,4,4,3344,Top Tier Loyalist
1001,327,43,6,5490.97,3,3,4,4,3344,Top Tier Loyalist
1002,310,156,3,4013.66,3,2,2,3,3223,Reactivated Spender
1003,348,48,7,7413.95,4,3,4,4,4344,Top Tier Loyalist
1004,317,204,5,6717.17,3,1,4,4,3144,At Risk Customer
1005,332,160,3,5733.72,4,1,2,4,4124,Reactivated Spender
1006,212,38,4,5903.4400000000005,2,3,3,4,2334,New Customer High Value
1007,21,21,1,1775.81,1,4,1,1,1411,New Customer Low Value
1008,110,110,1,1311.44,1,2,1,1,1211,New Customer Low Value
1009,312,173,2,3670.0,3,1,1,3,3113,Reactivated Spender
101,283,158,3,3561.6499999999996,3,1,2,3,3123,Reactivated Spender
1010,355,245,2,2063.33,4,1,1,2,4112,Inactive Customer
1012,328,300,2,3052.9700000000003,3,1,1,3,3113,Reactivated Spender
1013,332,205,4,4303.09,4,1,3,3,4133,At Risk Customer
1014,255,19,2,1390.1999999999998,2,4,1,1,2411,New Customer Low Value
1016,314,137,3,3567.67,3,2,2,3,3223,Reactivated Spender
1017,227,227,1,1577.53,2,1,1,1,2111,New Customer Low Value
1018,190,27,3,3975.36,1,4,2,3,1423,New Customer High Spender
1019,85,43,2,2057.83,1,3,1,2,1312,New Customer Low Value
102,279,110,4,3434.93,2,2,3,3,2233,New Customer High Value
1020,234,90,3,2267.76,2,2,2,2,2222,New Customer Low Value
1021,134,29,5,6139.04,1,4,4,4,1444,New Customer High Value
1022,364,84,5,8161.4,4,2,4,4,4244,At Risk Customer
1023,133,133,1,1403.5,1,2,1,1,1211,New Customer Low Value
1024,274,41,4,4074.83,2,3,3,3,2333,New Customer High Value
1025,320,61,3,2950.1800000000003,3,3,2,3,3323,Occasional Spender
1026,269,30,6,5229.9,2,4,4,4,2444,New Customer High Value
1027,283,48,3,2850.59,3,3,2,2,3322,Occasional Spender
1028,318,9,5,8773.65,3,4,4,4,3444,Top Tier Loyalist
1029,313,262,3,3612.59,3,1,2,3,3123,Reactivated Spender
103,211,136,2,1252.54,2,2,1,1,2211,New Customer Low Value
1030,350,40,5,7700.21,4,3,4,4,4344,Top Tier Loyalist
1032,355,126,5,4606.89,4,2,4,4,4244,At Risk Customer
1033,358,15,7,9418.75,4,4,4,4,4444,Top Tier Loyalist
1034,358,358,1,12.01,4,1,1,1,4111,Inactive Customer
1035,58,14,3,1327.0600000000002,1,4,2,1,1421,New Customer Low Value
1036,322,322,1,1274.93,3,1,1,1,3111,Inactive Customer
1037,178,74,2,2734.55,1,3,1,2,1312,New Customer Low Value
1038,169,30,3,4995.469999999999,1,4,2,4,1424,New Customer High Spender
1039,215,62,3,3594.79,2,3,2,3,2323,New Customer High Spender
104,307,170,2,2918.8500000000004,3,1,1,2,3112,Inactive Customer
1040,162,162,1,290.62,1,1,1,1,1111,New Customer Low Value
1041,214,64,2,1230.8,2,3,1,1,2311,New Customer Low Value
